year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2019,Acura,MDX,53052.0,SUV,Automatic,4X4,black,red,5,4,gasoline,43880,12.2,9.25,2.4,6.0,V-Engine
2018,Acura,MDX,77127.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,36486,12.6,9.0,2.4,6.0,V-Engine
2019,Acura,RDX,33032.0,SUV,Automatic,4X4,white,black,5,4,gasoline,40888,11.0,8.6,2.0,4.0,Inline
2020,Acura,RDX,50702.0,SUV,Automatic,4X4,white,black,5,4,gasoline,44599,11.0,8.6,2.4,4.0,Inline
2021,Acura,RDX,67950.0,SUV,Automatic,4X4,blue,red,5,4,gasoline,46989,11.3,9.1,2.4,4.0,Inline
2022,Acura,MDX,31000.0,SUV,Automatic,4X4,black,red,7,4,gasoline,60899,12.6,9.4,3.5,4.0,Other
2020,Acura,RDX,27800.0,SUV,Automatic,4X4,black,black,5,4,gasoline,49099,11.3,9.1,2.0,4.0,Inline
2019,Acura,TLX,34396.0,Sedan,Automatic,4X4,black,brown,5,4,gasoline,36499,11.4,7.7,3.5,6.0,Inline
2020,Acura,RDX,60892.0,SUV,Automatic,4X4,black,black,5,4,gasoline,38495,11.0,8.6,2.0,4.0,Inline
2009,Acura,TSX,123535.0,Sedan,Manual,FWD,silver,black,5,4,gasoline,11500,10.5,7.0,2.4,4.0,Inline
2015,Acura,TLX,192552.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,14888,9.6,6.6,2.4,4.0,Inline
2015,Acura,TLX,163537.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,14971,11.2,7.5,2.4,6.0,V-Engine
2016,Acura,RDX,179301.0,SUV,Automatic,4X4,black,black,5,4,gasoline,16399,12.4,8.6,3.5,6.0,V-Engine
2020,Acura,MDX,65684.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,40995,12.3,9.2,3.5,6.0,V-Engine
2017,Acura,RDX,211000.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,18999,12.4,8.7,2.4,6.0,Inline
2016,Acura,ILX,104368.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,20295,9.3,6.6,2.4,4.0,Inline
2015,Acura,MDX,205000.0,SUV,Automatic,4X4,white,black,7,4,gasoline,20885,10.8,8.7,2.4,6.0,Inline
2017,Acura,RDX,166813.0,SUV,Automatic,4X4,black,black,5,4,gasoline,20950,12.4,8.7,2.4,6.0,V-Engine
2016,Acura,MDX,207000.0,SUV,Automatic,4X4,silver,black,7,4,gasoline,20995,12.7,9.1,2.4,6.0,Inline
2017,Acura,ILX,95000.0,Sedan,Automatic,FWD,red,black,5,4,gasoline,21950,9.4,6.8,2.4,4.0,Inline
2019,Acura,ILX,66208.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,22890,9.9,7.0,2.4,4.0,Inline
2016,Acura,MDX,174000.0,SUV,Automatic,4X4,white,black,7,4,gasoline,22990,12.7,9.1,3.5,4.0,Other
2017,Acura,MDX,158248.0,SUV,Automatic,4X4,silver,black,7,4,gasoline,25888,12.6,9.0,2.4,6.0,V-Engine
2019,Acura,TLX,43150.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,33495,10.2,7.4,2.4,4.0,Inline
2016,Acura,MDX,89542.0,SUV,Automatic,4X4,black,black,5,4,gasoline,28000,12.7,9.1,3.5,6.0,Inline
2019,Acura,TLX,92276.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,28295,11.4,7.7,3.5,6.0,V-Engine
