year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type,car_state
2018,Subaru,Legacy,223250.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,15163,10.8,8.7,2.5,4.0,Other,2
2023,Jeep,Wrangler,13.0,SUV,Automatic,4X4,black,black,5,4,gasoline,47194,13.8,10.1,3.6,6.0,V-Engine,3
2019,Ford,Explorer,79799.0,SUV,Automatic,4X4,metallic,black,7,4,gasoline,38346,14.5,10.6,2.4,6.0,V-Engine,1
2021,Ford,Escape,38000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,37739,9.0,7.6,2.4,3.0,Inline,1
2010,Dodge,Journey,207794.0,SUV,Automatic,FWD,red,black,5,4,gasoline,6206,11.0,7.9,2.4,4.0,Inline,2
2023,Chevrolet,Silverado,10.0,Truck,Automatic,4X4,blue,black,5,4,gasoline,46587,14.8,11.8,5.3,8.0,V-Engine,3
2022,Porsche,911,11752.0,Coupe,Automatic,4X4,black,black,5,4,gasoline,304491,13.1,9.8,2.4,6.0,Inline,2
2015,Porsche,911,58429.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,135654,10.8,8.7,3.8,6.0,Inline,2
2009,Dodge,Grand,221726.0,Van,Automatic,FWD,red,black,7,4,gasoline,1964,12.6,8.4,2.4,6.0,V-Engine,4
2023,Mercedes-Benz,EQE,90.0,Sedan,Automatic,4X4,white,black,5,4,electric,131575,0.0,8.7,2.4,0.0,Electric,2
2017,Mitsubishi,RVR,99500.0,SUV,Automatic,4X4,white,black,5,4,gasoline,13505,10.8,8.7,2.4,4.0,Inline,3
2021,Volkswagen,Jetta,25200.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,30196,7.8,5.9,1.4,4.0,Other,2
2018,Volkswagen,Tiguan,26071.0,SUV,Automatic,4X4,green,white,5,4,gasoline,30055,11.3,8.8,2.4,4.0,Inline,1
2013,Hyundai,Elantra,118315.0,Sedan,Automatic,FWD,gray,gray,5,4,gasoline,9108,7.2,5.2,1.8,4.0,Inline,2
2020,Volkswagen,E-Golf,41214.0,Hatchback,Automatic,FWD,blue,black,5,2,electric,14757,0.0,8.7,0.0,0.0,Electric,4
2015,Honda,CR-V,139620.0,SUV,Automatic,FWD,white,black,5,4,gasoline,21402,8.6,6.9,2.4,4.0,Inline,2
2017,Volvo,XC60,161503.0,SUV,Automatic,4X4,black,black,5,4,gasoline,23502,11.7,8.7,2.4,4.0,Inline,2
2017,Volvo,S90,81000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,32212,10.8,8.7,2.4,4.0,Inline,2
2021,Jeep,Wrangler,33305.0,SUV,Automatic,4X4,green,black,5,4,gasoline,55139,11.5,10.0,2.0,4.0,Inline,2
2022,Jeep,Wagoneer,0.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,87060,10.8,8.7,5.7,8.0,V-Engine,2
2018,Tesla,Model,136317.0,Sedan,Automatic,4X4,white,beige,5,4,electric,46019,0.0,8.7,0.0,0.0,Electric,3
2022,Mercedes-Benz,GLB,80.0,SUV,Automatic,4X4,silver,gray,5,4,gasoline,68579,10.9,7.9,2.4,4.0,Inline,2
2016,Tesla,Model,71400.0,SUV,Automatic,4X4,silver,beige,6,4,electric,70985,0.0,8.7,0.0,0.0,Electric,2
2023,Jeep,Grand,0.0,SUV,Automatic,4X4,white,black,5,4,gasoline,84335,12.3,9.2,3.6,6.0,V-Engine,2
2023,Cadillac,XT5,10.0,SUV,Automatic,4X4,white,black,5,4,gasoline,37912,12.9,9.2,2.4,6.0,V-Engine,3
2023,Nissan,GT-R,99.0,Coupe,Automatic,4X4,white,black,5,4,gasoline,217966,14.7,10.7,3.8,6.0,V-Engine,3
2021,Kia,Sorento,26740.0,SUV,Automatic,4X4,red,black,6,4,gasoline,30111,11.1,8.4,2.5,4.0,Inline,3
2022,Hyundai,Kona,8481.0,SUV,CVT,4X4,white,black,5,4,gasoline,22337,8.5,7.2,2.4,4.0,Inline,3
2023,Volkswagen,Atlas,536.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,60812,13.1,10.0,2.4,6.0,V-Engine,2
2022,Jeep,Cherokee,1500.0,SUV,Automatic,4X4,black,black,5,4,gasoline,49413,12.9,9.7,2.4,6.0,V-Engine,2
2017,Dodge,Journey,102090.0,SUV,Automatic,FWD,white,black,5,4,gasoline,16948,10.8,8.7,2.4,4.0,Inline,2
2016,Ford,Escape,210855.0,SUV,Automatic,FWD,white,black,5,4,gasoline,10959,10.1,7.4,2.4,4.0,Inline,3
2017,GMC,Terrain,126310.0,SUV,Automatic,4X4,black,black,5,4,gasoline,16138,11.5,8.3,2.4,4.0,Inline,2
2011,Hyundai,Sonata,210000.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,9115,10.8,8.7,2.4,4.0,Inline,1
2014,Subaru,WRX,134000.0,Hatchback,Manual,4X4,blue,black,5,4,gasoline,15901,10.8,8.7,2.5,4.0,Other,3
2023,GMC,Acadia,35.0,SUV,Automatic,4X4,black,black,7,4,gasoline,64324,10.8,8.7,2.0,4.0,Inline,1
2022,Jeep,Cherokee,16.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,50114,12.2,8.6,3.2,6.0,V-Engine,2
2017,Honda,Civic,62369.0,Hatchback,CVT,FWD,white,black,5,4,gasoline,14783,7.7,6.0,2.4,4.0,Inline,3
2022,Jeep,Grand,7785.0,SUV,Automatic,4X4,black,black,5,2,gasoline,34195,18.6,12.8,6.4,8.0,Inline,4
2018,Ford,F-150,129330.0,Truck,Automatic,4X4,black,black,5,4,gasoline,39869,10.8,8.7,2.4,8.0,Inline,1
2021,Hyundai,Tucson,51879.0,SUV,Automatic,4X4,white,black,5,4,gasoline,32449,10.8,9.2,2.4,4.0,Inline,2
2020,BMW,3,101600.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,28836,11.4,8.3,2.4,6.0,Inline,3
2017,Honda,Civic,125000.0,Sedan,CVT,FWD,black,black,5,2,gasoline,21525,7.8,6.0,2.0,4.0,Inline,2
2019,Mazda,CX-5,31067.0,SUV,Automatic,FWD,black,black,5,4,gasoline,29761,9.3,7.6,2.4,4.0,Inline,2
2019,Buick,Regal,60162.0,Hatchback,Automatic,FWD,silver,black,5,4,gasoline,24503,10.6,7.4,2.0,4.0,Inline,2
2023,Ford,Mustang,250.0,Coupe,Automatic,RWD,gray,black,4,2,gasoline,76990,15.75,9.9,5.0,8.0,V-Engine,1
2016,Mercedes-Benz,GLE,106954.0,SUV,Automatic,4X4,brown,black,5,4,gasoline,36420,10.8,8.7,2.4,6.0,V-Engine,2
2018,Nissan,Titan,163438.0,Truck,Automatic,4X4,white,brown,5,4,gasoline,38549,15.55,11.5,5.6,8.0,Inline,1
2017,Dodge,Viper,33553.0,Coupe,Manual,RWD,black,black,5,2,gasoline,342905,19.9,12.6,2.4,10.0,Inline,2
2021,Honda,CR-V,23393.0,SUV,CVT,4X4,blue,black,5,4,gasoline,26378,8.7,7.4,1.5,4.0,Inline,3
